,ABBFR,BFR,CAC1,CAC2,EBFR,MARGE,ROA,VMARGE,XCAC2013
ORANGE,0.01947530413706398,-0.1637831603229527,Deloitte,E&Y,-0.18419940892492417,0.04570410678119129,0.021821443966772686,0.025694834191454578,0.4671280276816609
PERNODRICARD,-0.02024318896613855,0.07130384167636787,Mazars,Deloitte,0.09220025054257062,0.1386588921282799,0.04325523864959255,0.005014577259475218,0.48218435321456232
PUBLICIS,-0.0027834697913292805,-0.16948162001051956,E&Y,Mazars,-0.16678046193179694,0.11390766575578887,0.04628601484425224,0.008629368617862792,0.65999999999999992
RENAULT,-0.005768838990759534,-0.13022722423725197,E&Y,Deloitte,-0.12442592244973945,0.01431642724518714,0.00781416684446341,-0.02897488517541288,0.50385208012326665
SAFRAN,-0.02981438633997613,-0.04158845367705335,E&Y,Mazars,-0.013027681879716688,0.09418320195705354,0.057815041922162434,0.007067137809187279,0.49599083619702172
SANOFI,-0.004741734320645301,0.021839379586738147,PWC,E&Y,0.026795532206336063,0.1116015132408575,0.038692551917972204,-0.03518885486098601,0.47515527950310554
SCHNEIDER,-0.0065526861441008505,0.029252730615334704,Mazars,E&Y,0.03565695912483091,0.08016644728461636,0.05104358170217368,0.00318457814954779,0.44361444541754674
SOCIETEGENERALE,-0.07793231689615202,-0.4020572153923621,E&Y,Deloitte,-0.3231389956544355,0.09164454556946025,0.001760760065475988,0.05835756120170227,0.48093376062093901
TECHNIP,-0.0021675599026459397,-0.17994113651799867,E&Y,PWC,-0.1780396510955915,0.060314263986032714,0.04249490604482681,0.0021207999057422334,0.48251554941257774
TOTAL,-0.011110108228055965,0.03399599979249644,KPMG,E&Y,0.04496093267801012,0.04916839008476304,0.04864805667152763,-0.012635810200693251,0.5025252525252526
UNIBAILRODAMCO,0.015133988350637853,-0.0326114177062561,E&Y,Deloitte,-0.046396731382007075,0.780007252508159,0.039901683439224594,-0.10153511422700351,0.58620689655172409
VALLOUREC,-0.0026442179544090786,0.06568675942452856,KPMG,Deloitte,0.06831417416168364,0.046949787569689684,0.028160684716457707,0.007296129645232416,0.40246045694200355
VEOLIA,0.0276468743633151,-0.039768666826701576,KPMG,E&Y,-0.06912018042042176,-0.0060632405399107326,-0.003733227379208159,-0.02416781687489917,0.51190476190476186
VINCI,0.002791188695964403,-0.1423996448728518,Deloitte,KPMG,-0.14512308498150056,0.0479214498558937,0.03110533324877925,0.001099115822382883,0.47849462365591394
VIVENDI,0.10927598430571818,-0.007706384709231395,E&Y,KPMG,-0.1399863191067979,0.08886379037723063,0.03999593330622204,0.08077704992093969,0.52380952380952384
