,ABBFR,BFR,CAC1,CAC2,EBFR,MARGE,ROA,VMARGE,XCAC2013
ACCOR,0.030790274253719104,-0.18371104815864023,E&Y,Deloitte,-0.21668193673627711,0.022760115606936415,0.017847025495750707,0.13096098265895953,0.46913580246913578
AIRLIQUIDE,0.0066666980516321,-0.03126170570560995,E&Y,Mazars,-0.037906274058115516,0.10641279314930746,0.0653646601260829,0.0031917999286386225,0.56131087847064187
AIRBUSGROUP*,0.027972990505497543,-0.1318065394219331,KPMG,E&Y,-0.15942278893546247,0.024723234777912786,0.015700185401506788,0.004522748751181315,0.47873924017862923
ALCATELLUCENT,-0.018314266324966244,-0.12349287541103397,Deloitte,E&Y,-0.10563194907273799,-0.09032973122748685,-0.059554256485202774,0.04897478525907453,0.53804557744302817
ALSTOM,0.015062129739061047,-0.10503683561513896,PWC,Mazars,-0.11982274455397693,0.037890374463466374,0.024283049293325323,0.0017761113029749864,0.61951219512195121
AXA,-0.007742084882434845,-0.09311715224204675,PWC,Mazars,-0.08532681372910854,0.035866903538675755,0.0059196215245997125,0.00340103391430995,0.72632969507969514
BOUYGUES,0.03434104821450588,-0.09514925373134328,Mazars,E&Y,-0.13194294793831474,-0.022636882868335276,-0.0220673973880597,-0.041565742651236505,0.59556641647757025
CAPGEMINI,0.009088772619072698,-0.025943396226415096,KPMG,PWC,-0.03546088453506669,0.04379706698374951,0.043435534591194966,0.008818866428854539,0.52330573443728912
CREDITAGRICOLE,0.0463547440052777,-0.4610283348071051,E&Y,PWC,-0.5098127869002268,0.19020501138952164,0.0016299329873060429,0.6753227031131359,0.54654350893071046
DANONE,-0.06700096405195022,-0.18918132436627005,PWC,E&Y,-0.12519375726841525,0.06676683256643816,0.045977754785307814,-0.01173819137947225,0.49137931034482757
EDF,0.00977233532655309,-0.03244146245536427,Deloitte,KPMG,-0.041958188277326426,0.04652485647009022,0.013695429534931717,0.003201312273460857,0.48306332842415317
ESSILOR,-0.01919436311354504,0.03154282697637587,PWC,Mazars,0.049039918968622885,0.11707798617966436,0.07826316484096608,0.0017769002961500495,0.60766294358829354
KERING,-0.0200606400416096,-0.02710119767829277,KPMG,Deloitte,-0.004889720868583649,0.005088014443395839,0.002174408613463798,-0.10243732304788479,0.58269254241425605
L'OREAL,0.005056991225132433,0.0060035209580072925,PWC,Deloitte,0.0012320956035866567,0.12874837878537296,0.09451631558263547,0.003938789899288842,0.5066666666666666
LAFARGE,-0.024255130662870324,-0.045853000674308836,Deloitte,E&Y,-0.020034943318152004,0.03954467693117515,0.016210384356035064,0.015528358994604554,0.50757575757575757
LEGRAND,-0.0004268502913538043,0.023256500309889933,PWC,Deloitte,0.023680509803773023,0.11893552147789437,0.07828409526901396,0.005582458972289476,0.58643006263048014
LVMH,-0.004773738257646864,0.07213420986456874,E&Y,Deloitte,0.07642126244577052,0.11787711413770627,0.06171642059129935,0.00041167793063226867,0.68884371029224911
MICHELIN,-0.008263202789307443,0.12609999032975533,PWC,Deloitte,0.13471398569468468,0.055662567293920086,0.05449182864326468,-0.01792858201214995,0.56510980513455
