,ABBFR,BFR,EBFR,LEV,LNACTIF,MARGE,ROA,VMARGE
ACCOR,0.030790274253719104,-0.18371104815864023,-0.21668193673627711,0.23654390934844194,8.862200330487287,0.022760115606936415,0.017847025495750707,0.13096098265895953
ADP,0.011628186758584015,-0.07399338085011464,-0.08531296892082106,0.37859877369354783,9.173541523739084,0.10804198283809659,0.03161214686627865,-0.012020424083398354
AIR FRANCE -KLM,-0.03285138124238962,-0.2575620501121032,-0.22303469666063602,0.19325020650591984,10.143409555089155,-0.07156286721504113,-0.0718640601030563,-0.023580101840971406
AIR LIQUIDE,0.0066666980516321,-0.03126170570560995,-0.037906274058115516,0.23163150637985863,10.130407962531834,0.10641279314930746,0.0653646601260829,0.0031917999286386225
AIRBUS GROUP,0.027972990505497543,-0.1318065394219331,-0.15942278893546247,0.04069187984267664,11.443693279135596,0.024723234777912786,0.015700185401506788,0.004522748751181315
ALCATEL-LUCENT,-0.018314266324966244,-0.12349287541103397,-0.10563194907273799,0.22433321154548777,9.994059250720515,-0.09032973122748685,-0.059554256485202774,0.04897478525907453
ALSTOM,0.015062129739061047,-0.10503683561513896,-0.11982274455397693,0.13270307016157082,10.361766465136906,0.037890374463466374,0.024283049293325323,0.0017761113029749864
ALTEN,-0.01784912318968242,0.1516919486581097,0.16785613128064472,0.008518086347724621,6.75343791859778,0.060680809077454365,0.08611435239206534,-0.0036178260154579884
ALTRAN TECHN.,-0.09810264381102071,-0.0031560891938250974,0.08017899368948518,0.17708404802744426,7.284477918224647,0.04029887310142087,0.04514579759862779,0.000551200391964718
APERAM,-0.007735205876415071,0.05757952727918962,0.06572163220295121,0.13595166163141995,8.635331719433278,-0.01953125,-0.01777145903678692,0.0021484375
ARCELORMITTAL,-0.006751897308334908,0.029054029988958934,0.035907529199661316,0.15599957260391067,11.629000375945257,-0.032036757301107756,-0.02266089681946077,0.010158610271903323
AREVA,-0.025508172574899825,-0.1564038641321284,-0.13155942867471193,0.176347771891555,10.376299734103902,-0.05346320346320346,-0.015394203801807416,-0.04274891774891775
ARKEMA,-0.0022780498040126935,0.16033601168736303,0.16264110189262862,0.22005113221329436,8.60813018640834,0.027550016398819287,0.030679327976625273,-0.008527386028205968
ATOS,-0.01372322104801688,-0.10375996223376187,-0.0895697225693682,0.04202882452583933,8.882141813887111,0.030367051285027744,0.0363222348726778,0.00438789961228612
AXA,-0.007742084882434845,-0.09311715224204675,-0.08532681372910854,0.0118854694555718,13.537307418146264,0.035866903538675755,0.0059196215245997125,0.00340103391430995
BIC,-0.019284159469342463,0.23817552173516812,0.2574218966944777,0.02802332999179805,7.693755076556699,0.1279266871490624,0.11004283240681674,-0.009587880072041543
BNP PARIBAS ACT.A,-0.05089847688537202,-0.39542724200742274,-0.3415016423088542,0.17829400951815388,14.403374442107133,0.13784840099278237,0.0026842371616858478,-0.0494108920777109
BOLLORE,-0.01988649108179556,-0.08221073799381579,-0.06505209796830799,0.116499448612883,9.825461144097735,0.024897451260542935,0.014600947088459795,-0.036770060377010645
BOUYGUES,0.03434104821450588,-0.09514925373134328,-0.13194294793831474,0.19201842350746268,10.443017244430473,-0.022636882868335276,-0.0220673973880597,-0.041565742651236505
BUREAU VERITAS,0.022839176720572126,0.04732183691587528,0.023942571514950644,0.37854779263404265,8.220699073352096,0.08774249319874909,0.0928411934034597,0.012076987617909537
CAP GEMINI,0.009088772619072698,-0.025943396226415096,-0.03546088453506669,0.08343160377358491,9.227787285579904,0.04379706698374951,0.043435534591194966,0.008818866428854539
CARREFOUR,0.013361438075390093,-0.1916031585712974,-0.20571357818603425,0.17330823615829585,10.681986400195576,0.016882995361520672,0.028991828114957305,5.346950233260704e-05
CASINO GUICHARD,0.004957646562020558,-0.15106393315196268,-0.15625074803422045,0.20520792848814615,10.625416534521525,0.017494089834515367,0.020671395258453167,-0.004337547538287594
CGG,-0.06310380911732115,0.034274095948104766,0.09791250188953064,0.2885099482015782,9.019518792124098,-0.18556482022412235,-0.08457181584934889,-0.20553401667640342
CNP ASSURANCES,-0.028370774250690435,-0.7370019484474308,-0.7096209319606939,0.03251784164158131,12.810344075872642,0.024636326025975517,0.0028148794604787044,0.001884432625555108
CREDIT AGRICOLE,0.0463547440052777,-0.4610283348071051,-0.5098127869002268,0.09846747258882159,14.245260390609738,0.19020501138952164,0.0016299329873060429,0.6753227031131359
DANONE,-0.06700096405195022,-0.18918132436627005,-0.12519375726841525,0.22843378168649767,10.339417201448112,0.06676683256643816,0.045977754785307814,-0.01173819137947225
DASSAULT SYSTEMES,0.013922266892794776,-0.06490126316292175,-0.07691033618843139,0.08596193796413477,8.339954693959408,0.17051449591016893,0.08412330762434635,0.008470064372489232
EDENRED,-0.005903836907033742,-0.4276744747645496,-0.4214527060462943,0.36923448442405216,8.328692583545568,0.16842105263157894,0.03863801014247766,-0.024210526315789474
