Name,GROUPE,CAC1,CAC2,BIG5-BIG5,ABBFR,XCAC,LNACTF,LEV,ROA,BIG5-BIG5
TARKETT,CAC40MID,KPMG,Praxor,0,0.08853551,0.907725322,7.510156846,0.273364358,0.054256775,0
TECHNICOLOR,CAC40MID,Deloitte,Mazars,1,0.016753736,0.510279965,7.993619995,0.316002701,-0.029372046,1
TELEPERFORMANCE,CAC40MID,KPMG,Deloitte,1,0.026491592,0.624089156,7.544861069,0.010576415,0.068217874,1
THALES,CAC40MID,Mazars,E&Y,1,0.038182835,0.533446996,9.975566324,0.071719672,0.026676219,1
UBISOFT ENTERTAIN,CAC40MID,MB,KPMG,0,0.058351687,0.18537859,7.136801376,0.019087005,0.051534913,0
VALEO,CAC40MID,E&Y,MAZARS,1,-0.009773565,0.608695652,9.109635668,0.167993807,0.048551205,1
VILMORIN & CIE,CAC40MID,KPMG,Visas4,0,-0.003662318,0.94971537,7.820118308,0.207292587,0.039916473,0
VIRBAC,CAC40MID,Deloitte,Novances,0,0.017901608,0.918367347,6.798163602,0.200624861,0.067507253,0
WENDEL,CAC40MID,E&Y,PWC,1,-0.00169901,0.373428209,9.526981552,0.491894412,0.02431312,1
ZODIAC AEROSPACE,CAC40MID,E&Y,Fidaudit,0,0.002836523,0.903935544,8.37110327,0.210304601,0.085848533,0
ACCOR,CAC40,E&Y,Deloitte,1,0.030790274,0.469135802,8.86220033,0.236543909,0.017847025,1
AIR LIQUIDE,CAC40,E&Y,Mazars,1,0.006666698,0.561310878,10.13040796,0.231631506,0.06536466,1
AIRBUS GROUP,CAC40,KPMG,E&Y,1,0.027972991,0.47873924,11.44369328,0.04069188,0.015700185,1
ALCATEL-LUCENT,CAC40,Deloitte,E&Y,1,-0.018314266,0.538045577,9.994059251,0.224333212,-0.059554256,1
ALSTOM,CAC40,PWC,Mazars,1,0.01506213,0.619512195,10.36176647,0.13270307,0.024283049,1
AXA,CAC40,PWC,Mazars,1,-0.007742085,0.726329695,13.53730742,0.011885469,0.005919622,1
BOUYGUES,CAC40,Mazars,E&Y,1,0.034341048,0.595566416,10.44301724,0.192018424,-0.022067397,1
CAP GEMINI,CAC40,KPMG,PWC,1,0.009088773,0.523305734,9.227787286,0.083431604,0.043435535,1
DANONE,CAC40,PWC,E&Y,1,-0.067000964,0.49137931,10.3394172,0.228433782,0.045977755,1
EDF,CAC40,Deloitte,KPMG,1,0.009772335,0.483063328,12.45605674,0.162074914,0.01369543,1
ESSILOR INTL.,CAC40,PWC,Mazars,1,-0.019194363,0.607662944,8.932872622,0.079582948,0.078263165,1
KERING,CAC40,KPMG,Deloitte,1,-0.02006064,0.582692542,10.03498939,0.1344144,0.002174409,1
L'OREAL,CAC40,PWC,Deloitte,1,0.005056991,0.506666667,10.35131906,0.002099156,0.094516316,1
LAFARGE,CAC40,Deloitte,E&Y,1,-0.024255131,0.507575758,10.52069817,0.291436278,0.016210384,1
LEGRAND,CAC40,PWC,Deloitte,1,-0.00042685,0.586430063,8.82123078,0.217542721,0.078284095,1
LVMH,CAC40,E&Y,Deloitte,1,-0.004773738,0.68884371,10.92726853,0.072906563,0.061716421,1
MICHELIN,CAC40,PWC,Deloitte,1,-0.008263203,0.565109805,9.937019036,0.06759501,0.054491829,1
ORANGE,CAC40,Deloitte,E&Y,1,0.019475304,0.467128028,11.36015883,0.367900458,0.021821444,1
PERNOD RICARD,CAC40,Mazars,Deloitte,1,-0.020243189,0.482184353,10.22150482,0.280558789,0.043255239,1
PUBLICIS GROUPE SA,CAC40,E&Y,Mazars,1,-0.00278347,0.66,9.747476811,0.026883291,0.046286015,1
RENAULT,CAC40,E&Y,Deloitte,1,-0.005768839,0.50385208,11.22513672,0.091209729,0.007814167,1
SAFRAN,CAC40,E&Y,Mazars,1,-0.029814386,0.495990836,10.08468348,0.079047262,0.057815042,1
SANOFI,CAC40,PWC,E&Y,1,-0.004741734,0.47515528,11.47278032,0.107885286,0.038692552,1
SCHNEIDER ELECTRIC,CAC40,Mazars,E&Y,1,-0.006552686,0.443614445,10.51834881,0.16010598,0.051043582,1
TECHNIP,CAC40,E&Y,PWC,1,-0.00216756,0.482515549,9.4918283,0.181374991,0.042494906,1
TOTAL,CAC40,KPMG,E&Y,1,-0.011110108,0.502525253,12.063881,0.142883493,0.048648057,1
UNIBAIL-RODAMCO,CAC40,E&Y,Deloitte,1,0.015133988,0.586206897,10.38419927,0.371531481,0.039901683,1
VALLOUREC,CAC40,KPMG,Deloitte,1,-0.002644218,0.402460457,9.137791184,0.13663147,0.028160685,1
VEOLIA,CAC40,KPMG,E&Y,1,0.027646874,0.511904762,10.49797671,0.256729053,-0.003733227,1
VINCI,CAC40,Deloitte,KPMG,1,0.002791189,0.478494624,11.05209563,0.277411377,0.031105333,1
VIVENDI,CAC40,E&Y,KPMG,1,0.109275984,0.523809524,10.80324232,0.177653518,0.039995933,1
